iter	Passed	Remaining
0	146	146446
1	148	74324
2	151	50336
3	153	38212
4	155	30879
5	156	25993
6	158	22482
7	160	19853
8	161	17819
9	164	16296
10	168	15152
11	170	14042
12	172	13124
13	175	12342
14	177	11684
15	180	11092
16	182	10538
17	184	10043
18	186	9609
19	188	9217
20	190	8873
21	192	8549
22	194	8258
23	196	7993
24	198	7734
25	199	7489
26	201	7274
27	203	7073
28	205	6893
29	208	6729
30	210	6575
31	212	6417
32	214	6276
33	216	6156
34	218	6027
35	220	5914
36	222	5794
37	224	5682
38	226	5583
39	228	5492
40	230	5401
41	233	5314
42	235	5242
43	237	5164
44	239	5092
45	242	5036
46	244	4966
47	247	4915
48	249	4850
49	253	4813
50	255	4753
51	256	4684
52	258	4621
53	260	4558
54	263	4525
55	265	4480
56	268	4436
57	272	4420
58	274	4372
59	275	4320
60	278	4289
61	281	4257
62	283	4220
63	285	4176
64	287	4141
65	289	4101
66	293	4081
67	295	4048
68	297	4018
69	299	3983
70	301	3950
71	303	3914
72	305	3876
73	307	3847
74	310	3832
75	312	3802
76	314	3770
77	316	3739
78	318	3708
79	320	3681
80	321	3652
81	323	3622
82	324	3587
83	326	3563
84	328	3539
85	330	3512
86	332	3484
87	333	3455
88	335	3430
89	336	3404
90	338	3378
91	339	3352
92	341	3328
93	343	3306
94	344	3283
95	346	3260
96	347	3236
97	349	3219
98	352	3205
99	353	3184
100	355	3164
101	357	3146
102	359	3131
103	361	3112
104	362	3091
105	364	3073
106	366	3055
107	368	3039
108	369	3022
109	371	3009
110	373	2991
111	374	2973
112	376	2956
113	378	2940
114	380	2927
115	382	2914
116	383	2896
117	385	2881
118	387	2865
119	388	2849
120	389	2833
121	391	2814
122	392	2799
123	394	2788
124	396	2776
125	398	2764
126	399	2748
127	401	2736
128	403	2722
129	404	2708
130	406	2694
131	407	2680
132	409	2666
133	410	2653
134	412	2642
135	414	2631
136	416	2621
137	417	2609
138	419	2597
139	420	2585
140	422	2573
141	423	2559
142	425	2547
143	426	2537
144	428	2526
145	430	2517
146	432	2508
147	433	2497
148	435	2486
149	437	2477
150	438	2467
151	440	2456
152	442	2446
153	443	2437
154	445	2428
155	447	2420
156	448	2410
157	450	2402
158	452	2394
159	454	2384
160	455	2372
161	456	2363
162	458	2354
163	460	2349
164	462	2339
165	463	2330
166	465	2320
167	467	2312
168	468	2304
169	470	2296
170	472	2288
171	473	2281
172	475	2273
173	477	2265
174	478	2256
175	480	2247
176	481	2239
177	483	2230
178	484	2221
179	486	2214
180	487	2207
181	489	2201
182	491	2194
183	492	2186
184	494	2177
185	495	2169
186	497	2161
187	498	2153
188	500	2147
189	502	2141
190	503	2134
191	505	2126
192	506	2119
193	508	2111
194	509	2103
195	510	2095
196	512	2088
197	513	2080
198	515	2074
199	516	2067
200	518	2061
201	519	2054
202	521	2046
203	522	2039
204	524	2033
205	526	2027
206	527	2020
207	528	2014
208	530	2009
209	532	2003
210	534	1998
211	535	1992
212	537	1986
213	539	1979
214	540	1973
215	541	1966
216	543	1959
217	544	1953
218	546	1947
219	547	1942
220	549	1935
221	550	1929
222	552	1923
223	553	1917
224	554	1911
225	556	1905
226	557	1898
227	559	1893
228	560	1888
229	562	1883
230	563	1877
231	565	1872
232	567	1867
233	568	1861
234	569	1855
235	571	1849
236	572	1843
237	574	1838
238	575	1833
239	577	1828
240	579	1823
241	580	1819
242	582	1814
243	583	1809
244	585	1803
245	586	1798
246	587	1792
247	589	1787
248	591	1782
249	592	1777
250	593	1772
251	595	1766
252	596	1761
253	598	1756
254	599	1751
255	600	1745
256	601	1740
257	603	1735
258	605	1731
259	606	1727
260	608	1722
261	609	1717
262	611	1712
263	612	1707
264	613	1702
265	615	1697
266	616	1692
267	617	1687
268	619	1682
269	620	1678
270	622	1674
271	623	1670
272	625	1665
273	626	1660
274	628	1656
275	629	1652
276	631	1648
277	633	1644
278	634	1640
279	636	1636
280	637	1631
281	639	1627
282	640	1622
283	641	1617
284	643	1613
285	644	1608
286	645	1604
287	647	1599
288	648	1596
289	650	1591
290	651	1587
291	652	1582
292	654	1579
293	655	1574
294	657	1570
295	658	1566
296	659	1561
297	661	1557
298	662	1554
299	664	1550
300	665	1546
301	667	1542
302	668	1538
303	670	1535
304	671	1530
305	673	1526
306	674	1522
307	675	1518
308	677	1515
309	679	1511
310	680	1507
311	681	1503
312	683	1499
313	684	1495
314	686	1491
315	687	1487
316	688	1483
317	690	1479
318	691	1476
319	693	1473
320	694	1469
321	696	1465
322	697	1461
323	698	1457
324	700	1454
325	701	1450
326	702	1446
327	704	1442
328	705	1438
329	707	1435
330	708	1431
331	709	1428
332	711	1425
333	712	1421
334	714	1417
335	716	1415
336	717	1411
337	718	1407
338	720	1403
339	721	1400
340	723	1397
341	724	1393
342	725	1390
343	727	1386
344	728	1383
345	730	1379
346	731	1376
347	732	1372
348	733	1368
349	735	1365
350	736	1362
351	738	1358
352	739	1355
353	740	1352
354	742	1348
355	743	1345
356	744	1341
357	746	1338
358	747	1334
359	748	1331
360	750	1327
361	751	1324
362	753	1321
363	754	1319
364	756	1316
365	758	1313
366	759	1310
367	760	1306
368	762	1303
369	763	1300
370	765	1297
371	766	1294
372	768	1291
373	769	1287
374	770	1284
375	772	1281
376	773	1278
377	774	1274
378	776	1271
379	777	1268
380	778	1265
381	780	1262
382	781	1259
383	782	1255
384	784	1253
385	785	1250
386	787	1246
387	788	1243
388	789	1240
389	791	1237
390	792	1234
391	793	1231
392	795	1228
393	796	1225
394	798	1222
395	799	1219
396	800	1215
397	801	1212
398	803	1210
399	804	1207
400	806	1204
401	807	1200
402	808	1197
403	810	1195
404	811	1192
405	812	1189
406	814	1186
407	815	1183
408	816	1180
409	818	1177
410	819	1174
411	820	1171
412	822	1168
413	823	1165
414	825	1163
415	826	1160
416	828	1157
417	829	1154
418	830	1151
419	831	1148
420	833	1145
421	834	1143
422	836	1140
423	837	1137
424	839	1135
425	840	1133
426	842	1130
427	844	1128
428	845	1125
429	846	1122
430	848	1119
431	849	1117
432	851	1114
433	852	1111
434	853	1108
435	855	1106
436	857	1104
437	858	1101
438	859	1098
439	861	1096
440	862	1093
441	864	1091
442	865	1088
443	867	1086
444	869	1083
445	871	1082
446	873	1080
447	875	1078
448	876	1075
449	878	1073
450	879	1070
451	880	1067
452	882	1065
453	883	1062
454	885	1060
455	886	1057
456	888	1055
457	889	1052
458	891	1050
459	893	1048
460	894	1046
461	896	1043
462	898	1041
463	900	1039
464	901	1037
465	903	1035
466	905	1033
467	907	1031
468	908	1029
469	910	1027
470	912	1024
471	913	1022
472	915	1020
473	917	1017
474	918	1015
475	920	1012
476	921	1010
477	923	1008
478	925	1006
479	926	1003
480	928	1001
481	930	999
482	931	997
483	933	994
484	934	992
485	936	990
486	937	987
487	939	985
488	941	983
489	942	981
490	944	979
491	946	977
492	947	974
493	949	972
494	950	970
495	952	967
496	953	965
497	955	962
498	957	960
499	958	958
500	960	956
501	962	954
502	963	952
503	965	949
504	966	947
505	968	945
506	969	942
507	971	940
508	972	938
509	975	937
510	977	935
511	980	934
512	982	933
513	984	931
514	986	929
515	988	927
516	990	925
517	991	922
518	993	921
519	995	918
520	997	917
521	999	915
522	1004	915
523	1006	914
524	1008	912
525	1010	911
526	1013	909
527	1017	909
528	1021	909
529	1023	907
530	1025	905
531	1027	903
532	1029	901
533	1031	900
534	1034	899
535	1036	897
536	1038	895
537	1040	893
538	1042	891
539	1044	889
540	1046	888
541	1048	886
542	1050	883
543	1051	881
544	1053	879
545	1055	877
546	1057	876
547	1059	873
548	1062	872
549	1064	870
550	1066	868
551	1067	866
552	1069	864
553	1071	862
554	1074	861
555	1077	860
556	1079	858
557	1081	856
558	1082	854
559	1084	851
560	1087	850
561	1089	848
562	1091	847
563	1093	845
564	1095	843
565	1096	840
566	1098	838
567	1099	836
568	1102	834
569	1103	832
570	1105	830
571	1107	828
572	1109	826
573	1110	824
574	1112	822
575	1114	820
576	1116	818
577	1117	816
578	1120	814
579	1121	812
580	1124	810
581	1126	808
582	1128	806
583	1129	804
584	1131	802
585	1132	800
586	1134	798
587	1137	796
588	1138	794
589	1140	792
590	1141	790
591	1143	787
592	1144	785
593	1145	783
594	1147	780
595	1149	779
596	1151	777
597	1152	774
598	1154	772
599	1155	770
600	1157	768
601	1158	766
602	1159	763
603	1161	761
604	1163	759
605	1164	757
606	1166	755
607	1168	753
608	1171	751
609	1172	749
610	1174	747
611	1176	745
612	1178	743
613	1180	741
614	1182	740
615	1183	737
616	1185	735
617	1187	733
618	1188	731
619	1192	730
620	1194	728
621	1196	726
622	1198	724
623	1199	722
624	1201	720
625	1202	718
626	1204	716
627	1205	714
628	1207	712
629	1208	709
630	1210	707
631	1211	705
632	1213	703
633	1214	701
634	1216	699
635	1217	696
636	1219	694
637	1220	692
638	1222	690
639	1224	688
640	1227	687
641	1228	685
642	1230	682
643	1231	680
644	1232	678
645	1234	676
646	1235	674
647	1237	672
648	1239	670
649	1240	667
650	1242	665
651	1243	663
652	1244	661
653	1246	659
654	1247	657
655	1249	655
656	1251	653
657	1253	651
658	1255	649
659	1256	647
660	1258	645
661	1259	642
662	1260	640
663	1262	638
664	1263	636
665	1265	634
666	1267	632
667	1269	630
668	1270	628
669	1272	626
670	1273	624
671	1275	622
672	1276	620
673	1277	618
674	1279	616
675	1281	614
676	1282	612
677	1284	609
678	1286	607
679	1287	605
680	1289	603
681	1290	601
682	1292	599
683	1294	597
684	1295	595
685	1297	593
686	1298	591
687	1300	589
688	1301	587
689	1303	585
690	1304	583
691	1306	581
692	1307	579
693	1309	577
694	1311	575
695	1312	573
696	1314	571
697	1316	569
698	1317	567
699	1319	565
700	1320	563
701	1322	561
702	1323	559
703	1325	557
704	1327	555
705	1329	553
706	1330	551
707	1332	549
708	1334	547
709	1335	545
710	1337	543
711	1339	541
712	1340	539
713	1342	537
714	1343	535
715	1345	533
716	1347	531
717	1348	529
718	1350	527
719	1352	525
720	1353	523
721	1355	521
722	1357	519
723	1358	517
724	1360	515
725	1362	514
726	1364	512
727	1365	510
728	1367	508
729	1369	506
730	1371	504
731	1372	502
732	1374	500
733	1375	498
734	1377	496
735	1379	494
736	1380	492
737	1382	490
738	1384	488
739	1386	486
740	1387	485
741	1389	483
742	1390	481
743	1392	478
744	1393	476
745	1394	474
746	1396	472
747	1397	470
748	1399	468
749	1401	467
750	1402	465
751	1404	463
752	1405	461
753	1407	459
754	1408	457
755	1410	455
756	1412	453
757	1413	451
758	1415	449
759	1417	447
760	1418	445
761	1419	443
762	1421	441
763	1422	439
764	1424	437
765	1425	435
766	1427	433
767	1429	431
768	1430	429
769	1432	427
770	1433	425
771	1435	423
772	1436	421
773	1438	419
774	1439	417
775	1441	416
776	1442	414
777	1445	412
778	1446	410
779	1448	408
780	1449	406
781	1451	404
782	1452	402
783	1454	400
784	1455	398
785	1457	396
786	1459	395
787	1461	393
788	1462	391
789	1464	389
790	1465	387
791	1466	385
792	1468	383
793	1469	381
794	1471	379
795	1473	377
796	1474	375
797	1476	373
798	1478	371
799	1479	369
800	1481	367
801	1482	366
802	1483	364
803	1485	362
804	1487	360
